"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","Db"
"1","WaspsNew","D139",TRUE,"BushMosteller",0.55,FALSE,1.015625
"2","WaspsNew","D187",TRUE,"BushMosteller",0.4875,FALSE,2.5
"3","WaspsNew","D201",TRUE,"BushMosteller",0.4375,FALSE,2.5
"4","WaspsNew","D216",TRUE,"BushMosteller",0.4875,FALSE,2.5
"5","WaspsNew","D217",TRUE,"BushMosteller",0.675,FALSE,1.015625
"6","WaspsNew","D223",TRUE,"BushMosteller",0.55,FALSE,1.015625
"7","WaspsNew","D229",TRUE,"BushMosteller",0.499592392953505,FALSE,2.0009765625
"8","WaspsNew","D239B",TRUE,"BushMosteller",0.449911060255247,FALSE,2.0001
"9","WaspsNew","D257",TRUE,"BushMosteller",0.474869306193519,FALSE,2.0001
"10","WaspsNew","D67A",TRUE,"BushMosteller",0.625,FALSE,1.015625
"11","WaspsNew","D81B",TRUE,"BushMosteller",0.7,FALSE,1.015625
"12","WaspsNew","D92B",TRUE,"BushMosteller",0.50153424817668,FALSE,2.0001
"13","WaspsNew","D122",TRUE,"BushMosteller",0.6875,FALSE,-0.5
"14","WaspsNew","D133",TRUE,"BushMosteller",0.6625,FALSE,-0.5
"15","WaspsNew","D140",TRUE,"BushMosteller",0.5625,FALSE,-0.5
"16","WaspsNew","D149",TRUE,"BushMosteller",0.6875,FALSE,-0.5
"17","WaspsNew","D15",TRUE,"BushMosteller",0.7125,FALSE,-0.5
"18","WaspsNew","D22",TRUE,"BushMosteller",0.6125,FALSE,-0.5
"19","WaspsNew","D43",TRUE,"BushMosteller",0.7125,FALSE,-0.5
"20","WaspsNew","D45",TRUE,"BushMosteller",0.6125,FALSE,-0.5
"21","WaspsNew","D50",TRUE,"BushMosteller",0.5625,FALSE,-0.5
"22","WaspsNew","D55",TRUE,"BushMosteller",0.7125,FALSE,-0.5
"23","WaspsNew","D71",TRUE,"BushMosteller",0.6125,FALSE,-0.5
"24","WaspsNew","M17",TRUE,"BushMosteller",0.5125,FALSE,2.5
"25","WaspsNew","M21",TRUE,"BushMosteller",0.675,FALSE,1.015625
"26","WaspsNew","M22",TRUE,"BushMosteller",0.4875,FALSE,2.5
"27","WaspsNew","M23",TRUE,"BushMosteller",0.625,FALSE,1.015625
"28","WaspsNew","M28B",TRUE,"BushMosteller",0.4875,FALSE,2.5
"29","WaspsNew","M29",TRUE,"BushMosteller",0.4875,FALSE,2.5
"30","WaspsNew","M31A",TRUE,"BushMosteller",0.6,FALSE,1.015625
"31","WaspsNew","M10A",TRUE,"BushMosteller",0.6875,FALSE,-0.5
"32","WaspsNew","M10B",TRUE,"BushMosteller",0.6375,FALSE,-0.5
"33","WaspsNew","M11",TRUE,"BushMosteller",0.6375,FALSE,-0.5
"34","WaspsNew","M24",TRUE,"BushMosteller",0.6625,FALSE,-0.5
"35","WaspsNew","M32A",TRUE,"BushMosteller",0.6625,FALSE,-0.5
"36","WaspsNew","M32C",TRUE,"BushMosteller",0.6625,FALSE,-0.5
"37","WaspsNew","M4",TRUE,"BushMosteller",0.6625,FALSE,-0.5
"38","WaspsNew","M6",TRUE,"BushMosteller",0.7125,FALSE,-0.5
"39","WaspsNew","M7",TRUE,"BushMosteller",0.6375,FALSE,-0.5
"40","WaspsNew","M9",TRUE,"BushMosteller",0.6375,FALSE,-0.5
"41","RGMDL3","1",TRUE,"BushMosteller",0.559405933354462,FALSE,0.72119140625
"42","RGMDL3","2",TRUE,"BushMosteller",0.559763276218843,FALSE,0.7294921875
"43","RGMDL3","3",TRUE,"BushMosteller",0.543022777771719,FALSE,0.73095703125
"44","RGMDL3","4",TRUE,"BushMosteller",0.550742264224557,FALSE,0.716796875
"45","Camarena","1",TRUE,"BushMosteller",0.745368248968927,FALSE,0.009765625
"46","Camarena","4",TRUE,"BushMosteller",0.720963325470523,FALSE,0.03759765625
"47","Camarena","5",TRUE,"BushMosteller",0.645878992174724,FALSE,0.05859375
"48","RGMDL2","1",TRUE,"BushMosteller",0.516685383653267,FALSE,0.72802734375
"49","Camarena","6",TRUE,"BushMosteller",0.719735967976731,FALSE,0.0078125
"50","Camarena","7",TRUE,"BushMosteller",0.758524720333623,FALSE,0.0185546875
"51","Camarena","8",TRUE,"BushMosteller",0.757736925725779,FALSE,0.01171875
"52","RGMDL2","2",TRUE,"BushMosteller",0.538716265235212,FALSE,0.718317578125
"53","Camarena","9",TRUE,"BushMosteller",0.703952359091014,FALSE,0.0078125
"54","Camarena","10",TRUE,"BushMosteller",0.716496408123963,FALSE,0.01171875
"55","RGMDL2","3",TRUE,"BushMosteller",0.507834868498544,FALSE,0.7216796875
"56","Camarena","11",TRUE,"BushMosteller",0.72764236294586,FALSE,0.009765625
"57","RGMDL2","4",TRUE,"BushMosteller",0.523053047261863,FALSE,0.71738515625
"58","Camarena","2",TRUE,"BushMosteller",0.694963776076316,FALSE,0.015625
"59","Humans","1",TRUE,"BushMosteller",0.544948407339918,FALSE,0.70166015625
"60","Humans","3",TRUE,"BushMosteller",0.600204435469353,FALSE,2.193359375
"61","Humans","5",TRUE,"BushMosteller",0.528700312337762,FALSE,0.001953125
"62","Humans","7",TRUE,"BushMosteller",0.528822282462351,FALSE,0.001953125
"63","Humans","9",TRUE,"BushMosteller",0.569309045492169,FALSE,-0.001953125
"64","Humans","11",TRUE,"BushMosteller",0.656840824675857,FALSE,0.6376953125
"65","Humans","13",TRUE,"BushMosteller",0.518196225068736,FALSE,0.09912109375
"66","Humans","15",TRUE,"BushMosteller",0.667358243402768,FALSE,0.57177734375
"67","Humans","21",TRUE,"BushMosteller",0.500704319678008,FALSE,0.00028828125
"68","Humans","23",TRUE,"BushMosteller",0.598914835618682,FALSE,0.091796875
"69","Humans","25",TRUE,"BushMosteller",0.583247574877484,FALSE,0.999755859375
"70","Humans","27",TRUE,"BushMosteller",0.59279482771628,FALSE,0.474509375
"71","Humans","29",TRUE,"BushMosteller",0.628286529105757,FALSE,1.935546875
"72","Humans","31",TRUE,"BushMosteller",0.502876053831768,FALSE,0.00028828125
"73","Humans","33",TRUE,"BushMosteller",0.511731797107844,FALSE,0.00048828125
"74","Humans","35",TRUE,"BushMosteller",0.56859442188414,FALSE,0.00390625
"75","Humans","37",TRUE,"BushMosteller",0.605859695644722,FALSE,0.43320546875
"76","Humans","41",TRUE,"BushMosteller",0.557441078334164,FALSE,1.611328125
"77","Humans","43",TRUE,"BushMosteller",0.576597310377592,FALSE,0.001953125
"78","HumScrm","1",TRUE,"BushMosteller",0.644950497373408,FALSE,1.65966796875
"79","HumScrm","2",TRUE,"BushMosteller",0.626621604306796,FALSE,0.62939453125
"80","HumScrm","3",TRUE,"BushMosteller",0.636978836343395,FALSE,0.06982421875
"81","HumScrm","4",TRUE,"BushMosteller",0.641057545510578,FALSE,0.717529296875
"82","HumScrm","5",TRUE,"BushMosteller",0.627290577623284,FALSE,0.06787109375
"83","HumScrm","6",TRUE,"BushMosteller",0.639784901527429,FALSE,0.50567109375
"84","HumScrm","7",TRUE,"BushMosteller",0.659761504960368,FALSE,0.06689453125
"85","HumScrm","8",TRUE,"BushMosteller",0.640826688542963,FALSE,0.71728515625
"86","HumScrm","9",TRUE,"BushMosteller",0.640430139703135,FALSE,0.060302734375
"87","HumScrm","10",TRUE,"BushMosteller",0.614104604307894,FALSE,0.05517578125
"88","HumScrm","11",TRUE,"BushMosteller",0.527492058092152,FALSE,0.478759765625
"89","HumScrm","12",TRUE,"BushMosteller",0.654505192002597,FALSE,0.060546875
"90","FHL","1",TRUE,"BushMosteller",0.534699279360409,FALSE,0.033203125
"91","HumScrm","13",TRUE,"BushMosteller",0.665983961739424,FALSE,0.063232421875
"92","HumScrm","14",TRUE,"BushMosteller",0.637180075013612,FALSE,0.71240234375
"93","HumScrm","15",TRUE,"BushMosteller",0.631148865610673,FALSE,0.048828125
"94","FHL","2",TRUE,"BushMosteller",0.542644259976171,FALSE,0.0283203125
"95","HumScrm","16",TRUE,"BushMosteller",0.659581198630361,FALSE,0.09326171875
"96","FHL","3",TRUE,"BushMosteller",0.517429942663073,FALSE,1.0001
"97","HumScrm","17",TRUE,"BushMosteller",0.640767981767963,FALSE,0.087890625
"98","HumScrm","18",TRUE,"BushMosteller",0.520466347705059,FALSE,1.63681875
"99","HumScrm","19",TRUE,"BushMosteller",0.463974128106501,FALSE,-1e-04
"100","HumScrm","20",TRUE,"BushMosteller",0.620774360574646,FALSE,0.05859375
"101","HumScrm","21",TRUE,"BushMosteller",0.535571243330381,FALSE,1.99072265625
"102","HumScrm","22",TRUE,"BushMosteller",0.555501272777969,FALSE,0.72998046875
"103","HumScrm","23",TRUE,"BushMosteller",0.662501675388367,FALSE,0.07275390625
"104","HumScrm","24",TRUE,"BushMosteller",0.643304185534755,FALSE,0.711669921875
"105","HumScrm","25",TRUE,"BushMosteller",0.620627043007937,FALSE,0.6494140625
"106","HumScrm","26",TRUE,"BushMosteller",0.542767117592909,FALSE,0.521384375
"107","HumScrm","27",TRUE,"BushMosteller",0.620900560933798,FALSE,0.696044921875
"108","HumScrm","28",TRUE,"BushMosteller",0.660280906730157,FALSE,0.062744140625
"109","HumScrm","29",TRUE,"BushMosteller",0.643569118697374,FALSE,0.0624
"110","HumScrm","30",TRUE,"BushMosteller",0.598651913002503,FALSE,0.71240234375
"111","HumScrm","31",TRUE,"BushMosteller",0.630056841684825,FALSE,0.69677734375
"112","HumScrm","32",TRUE,"BushMosteller",0.605302463001436,FALSE,0.71533203125
"113","HumScrm","33",TRUE,"BushMosteller",0.654797590951322,FALSE,0.060302734375
"114","HumScrm","34",TRUE,"BushMosteller",0.515419954870235,FALSE,0.99609375
"115","HumScrm","35",TRUE,"BushMosteller",0.632610831925452,FALSE,0.671630859375
"116","HumScrm","36",TRUE,"BushMosteller",0.627505711362919,FALSE,0.71630859375
"117","HumScrm","37",TRUE,"BushMosteller",0.639552808454335,FALSE,0.076171875
"118","HumScrm","38",TRUE,"BushMosteller",0.637325661108404,FALSE,0.717041015625
"119","HumScrm","39",TRUE,"BushMosteller",0.640616301150198,FALSE,0.71474375
"120","HumScrm","40",TRUE,"BushMosteller",0.665933139105245,FALSE,0.71337890625
"121","HumScrm","41",TRUE,"BushMosteller",0.664950563020344,FALSE,0.0615234375
"122","HumScrm","42",TRUE,"BushMosteller",0.640742821898317,FALSE,0.059814453125
"123","HumScrm","43",TRUE,"BushMosteller",0.655319951572062,FALSE,0.06591796875
"124","HumScrm","44",TRUE,"BushMosteller",0.648884921714292,FALSE,0.06396484375
"125","HumScrm","45",TRUE,"BushMosteller",0.641013340540624,FALSE,0.068359375
"126","HumScrm","46",TRUE,"BushMosteller",0.548967595593583,FALSE,1.6484375
"127","HumScrm","47",TRUE,"BushMosteller",0.650860557343713,FALSE,0.0595703125
"128","HumScrm","48",TRUE,"BushMosteller",0.566909309051826,FALSE,0.6902296875
"129","HumScrm","49",TRUE,"BushMosteller",0.4875,FALSE,-0.5
"130","HumScrm","50",TRUE,"BushMosteller",0.671459270195187,FALSE,0.072265625
"131","HumScrm","51",TRUE,"BushMosteller",0.641917612996863,FALSE,0.0615234375
"132","HumScrm","52",TRUE,"BushMosteller",0.572316841774067,FALSE,0.7198265625
"133","HumScrm","53",TRUE,"BushMosteller",0.634786503609137,FALSE,0.05322265625
"134","HumScrm","54",TRUE,"BushMosteller",0.551774928101808,FALSE,2.41796875
"135","HumScrm","55",TRUE,"BushMosteller",0.611337059461182,FALSE,0.072265625
"136","HumScrm","56",TRUE,"BushMosteller",0.51875,FALSE,2.4375
"137","HumScrm","57",TRUE,"BushMosteller",0.593555582114062,FALSE,0.6376953125
"138","HumScrm","58",TRUE,"BushMosteller",0.617136869657445,FALSE,0.7138671875
"139","HumScrm","59",TRUE,"BushMosteller",0.595608597486322,FALSE,0.04443359375
"140","HumScrm","60",TRUE,"BushMosteller",0.556687533407035,FALSE,0.40380859375
"141","HumScrm","61",TRUE,"BushMosteller",0.352509198241967,FALSE,-1e-04
"142","HumScrm","62",TRUE,"BushMosteller",0.593520727184809,FALSE,0.7020484375
"143","HumScrm","63",TRUE,"BushMosteller",0.352509198241967,FALSE,-1e-04
"144","HumScrm","64",TRUE,"BushMosteller",0.671459270195187,FALSE,0.072265625
"145","HumScrm","65",TRUE,"BushMosteller",0.654601911275449,FALSE,0.0576171875
"146","HumScrm","66",TRUE,"BushMosteller",0.65979971721837,FALSE,0.0712890625
"147","HumScrm","67",TRUE,"BushMosteller",0.61445374969806,FALSE,0.711669921875
"148","HumScrm","68",TRUE,"BushMosteller",0.646506558768397,FALSE,0.716796875
"149","HumScrm","69",TRUE,"BushMosteller",0.593960244620931,FALSE,0.08984375
"150","HumScrm","70",TRUE,"BushMosteller",0.66102319978541,FALSE,0.715576171875
"151","HumScrm","71",TRUE,"BushMosteller",0.638664245197882,FALSE,0.06787109375
"152","HumScrm","72",TRUE,"BushMosteller",0.643763237210939,FALSE,0.594482421875
"153","HumScrm","73",TRUE,"BushMosteller",0.658781651538162,FALSE,0.08984375
"154","HumScrm","74",TRUE,"BushMosteller",0.5058407802003,FALSE,0.001708984375
"155","HumScrm","75",TRUE,"BushMosteller",0.623475100310945,FALSE,0.05224609375
"156","HumScrm","76",TRUE,"BushMosteller",0.50625,FALSE,-0.5
"157","HumScrm","77",TRUE,"BushMosteller",0.627272597732085,FALSE,0.72509765625
"158","RGMDL1","1",TRUE,"BushMosteller",0.538842101222261,FALSE,0.94775390625
"159","RGMDL1","2",TRUE,"BushMosteller",0.540535070396652,FALSE,0.73056875
"160","RGMDL1","3",TRUE,"BushMosteller",0.52566597258295,FALSE,0.73301015625
"161","RGMDL1","4",TRUE,"BushMosteller",0.553118620639857,FALSE,0.72900390625
